,building_room_crn,buildingName,icon_id,102_room_checklist,401_furniture_types,404_writing_surfaces,501_tech_checklist,501_tech_checklist_UPDATED,freq
92,HILLYR 207E,FM112,too-hot,"Bulletin Board or Other Display,Furniture/ Supply Storage Room,Trash,Recycling,Clock","chairs - movable,stools - no back",mobile chalkboard(s),"Audio/Visual Cabinet,Ceiling Mounted Projector,Desktop Computer,Speakers, ceiling-mounted paper ream","Audio/Visual Cabinet,Data Projector,Computer,Speakers, ceiling-mounted paper ream",1
93,HILLYR 320,FM112,too-hot,"Clock,Bulletin Board or Other Display,Instructor Desk","chairs - movable,table(s) - movable",wall mounted whiteboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Speakers,Telephone","Lectern,Data Projector,Computer,Speakers,Telephone",1
94,BASS 211,FM126,too-hot,"Lectern,Trash,Recycling,Clock,Bulletin Board or Other Display","chairs - movable,table(s) - movable",wall mounted chalkboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Document Camera/ Visualizer,Speakers","Lectern,Data Projector,Computer,Document Camera,Speakers",1
95,BASS 204,FM126,too-hot,"Bulletin Board or Other Display,Clock,Trash,Recycling,Lectern","chairs - movable,table(s) - movable",mobile chalkboard(s),"Ceiling Mounted Projector,Speakers, AV box on shelving unit","Data Projector,Speakers, AV box on shelving unit",1
96,BERENS 3,FM103,too-hot,Clock,benches,none,"Audio/Visual Cabinet,Speakers, TV screen","Audio/Visual Cabinet,Speakers, TV",1
97,BURTON 301,FM104,too-hot,"Bulletin Board or Other Display,Clock,Trash,Recycling,Instructor Desk,Lectern","chairs - movable,tablet arm - fixed","wall mounted chalkboard(s),wall mounted whiteboard(s)","Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Speakers","Lectern,Data Projector,Computer,Speakers",1
98,BURTON 302,FM104,too-hot,"Bulletin Board or Other Display,Clock,Trash,Recycling","chairs - movable,table(s) - movable",wall mounted chalkboard(s),"Ceiling Mounted Projector,Desktop Computer,Speakers,Telephone, AV box on table","Data Projector,Computer,Speakers,Telephone, AV box on table",1
99,BURTON 209,FM104,too-hot,"Bulletin Board or Other Display,Clock,Lectern,Trash","chairs - movable,table(s) - fixed,table(s) - movable",wall mounted chalkboard(s),"Ceiling Mounted Projector,Desktop Computer,Speakers,Telephone, AV box on desk","Data Projector,Computer,Speakers,Telephone, AV box on desk",1
100,HATFLD 203,FM116,too-hot,"Bulletin Board or Other Display,Lectern,Instructor Desk,Clock","chairs - movable,tablet arm - fixed,table(s) - movable",wall mounted chalkboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Speakers","Lectern,Data Projector,Computer,Speakers",1
101,FORD 146,FM138,too-hot,"Bulletin Board or Other Display,Clock,Trash","chairs - movable,table(s) - fixed",wall mounted whiteboard(s),"Telephone, TV Screen","Telephone, TV",1
102,SEELYE 109,FM133,too-hot,"Bulletin Board or Other Display,Clock","chairs - movable,tablet arm - fixed,table(s) - movable",wall mounted chalkboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Microphone(s),Speakers","Lectern,Data Projector,Computer,Microphone(s),Speakers",1
103,BASS 002,FM126,too-hot,"Bulletin Board or Other Display,Clock,Trash,Recycling","chairs - movable,table(s) - fixed,stools - no back, high bench table - fixed",wall mounted whiteboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Document Camera/ Visualizer,Speakers","Lectern,Data Projector,Computer,Document Camera,Speakers",1
104,BASS 103,FM126,too-hot,"Bulletin Board or Other Display,Clock,Lectern","chairs - movable,table(s) - fixed","wall mounted chalkboard(s),wall mounted whiteboard(s),smartboard","Audio/Visual Equipped Teaching Station,Desktop Computer,Speakers","Lectern,Computer,Speakers",1
105,SEELYE 204,FM133,too-hot,"Bulletin Board or Other Display,Clock,Lectern","chairs - movable,table(s) - movable",wall mounted chalkboard(s),"Audio/Visual Cabinet,Ceiling Mounted Projector,Desktop Computer,Speakers","Audio/Visual Cabinet,Data Projector,Computer,Speakers",1
106,HATFLD 104,FM116,too-hot,"Bulletin Board or Other Display,Clock,Trash,Lectern,Instructor Desk","chairs - movable,tablet arm - fixed,table(s) - movable",wall mounted chalkboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Speakers","Lectern,Data Projector,Computer,Speakers",1
107,BURTON 307,FM104,too-hot,"Bulletin Board or Other Display,Clock,Lectern,Trash,Recycling","chairs - movable, tables(s) - movable",wall mounted chalkboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Speakers,Telephone","Lectern,Data Projector,Computer,Speakers,Telephone",1
108,SAGE 216,FM129,too-hot,"Bulletin Board or Other Display,Clock,Lectern","chairs - movable,table(s) - fixed",wall mounted chalkboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Speakers","Lectern,Data Projector,Computer,Speakers",1
